locale,key,first_seen_in_file
bn,label.base_ht,resources/js/components/admin/pos/ReceiptComponent.vue
bn,label.change_due,resources/js/components/admin/pos/PaymentComponent.vue
bn,label.dinein_orders,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.duplicata,resources/js/components/admin/pos/ReceiptDuplicataMarker.vue
bn,label.floorplan,resources/js/components/admin/pos/FloorplanComponent.vue
bn,label.free,resources/js/components/admin/pos/FloorplanComponent.vue
bn,label.has_menu,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
bn,label.is_upsell,resources/js/components/admin/items/ItemCreateComponent.vue
bn,label.is_upsell_hint,resources/js/components/admin/items/ItemCreateComponent.vue
bn,label.kds_admin_polling_hint,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_all_stations,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_allergens_badge,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_allergens_badge_aria,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_allergens_modal_intro,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_allergens_modal_none,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_allergens_modal_title,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_bar,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_bump_local_only_notice,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_cuisine_chaude,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_cuisine_froide,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_dismiss_hint,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_group_by_table,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_items_board_scope,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_order_cap_warning,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_order_list_full_warning,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_sound,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_station_filter,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_sync_never,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_sync_stamp,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kds_volume,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
bn,label.kiosk,resources/js/components/admin/onlineOrders/OnlineOrderListComponent.vue
bn,label.kiosk_admin_pin,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
bn,label.kiosk_admin_pin_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
bn,label.kiosk_idle_screen,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
bn,label.kiosk_idle_video,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
bn,label.kiosk_idle_video_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
bn,label.kiosk_tap_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
